;date;time;consumption_w;generation_w;temperature_c;humidity_perc;radiation_Wm_2;power_w_zone_1_hvac1;power_w_zone_1_hvac2;power_w_zone_1_hvac3;power_w_zone_1_light;power_w_zone_1_sockets;power_w_zone_2_hvac1;power_w_zone_2_hvac2;power_w_zone_2_light;power_w_zone_2_sockets;power_w_zone_3_hvac1;power_w_zone_3_hvac2;power_w_zone_3_hvac3;power_w_zone_3_light;power_w_zone_3_sockets;power_w_zone_4_hvac;power_w_zone_4_light;power_w_zone_4_sockets;power_w_zone_5_hvac;power_w_zone_5_light;power_w_zone_5_sockets;power_w_hvac;power_w_light;power_w_socket;isoweekday;period_of_day
0;2019-01-01;00:05:00;2985;0;8.7;76.0;0.0;8;0;0;0;467;0;881;0;866;0;0;0;0;351;9;0;171;0;0;232;898;0;2087;2;1
1;2019-01-01;00:10:00;2258;0;8.6;76.0;0.0;4;0;0;0;469;0;170;0;861;0;0;0;0;344;8;0;169;0;0;233;182;0;2076;2;1
2;2019-01-01;00:15:00;2266;0;8.7;76.0;0.0;8;0;0;0;466;0;170;0;859;0;0;0;0;353;8;0;169;0;0;233;186;0;2080;2;1
3;2019-01-01;00:20:00;3016;0;8.7;76.0;0.0;8;0;0;0;463;0;932;0;858;0;0;0;0;346;10;0;167;0;0;232;950;0;2066;2;1
4;2019-01-01;00:25:00;2265;0;8.6;76.0;0.0;7;0;0;0;476;0;170;0;854;0;0;0;0;352;9;0;167;0;0;230;186;0;2079;2;1
5;2019-01-01;00:30:00;2253;0;8.3;76.0;0.0;9;0;0;0;470;0;170;0;855;0;0;0;0;343;8;0;167;0;0;231;187;0;2066;2;1
6;2019-01-01;00:35:00;2598;0;8.3;78.0;0.0;8;0;0;0;467;0;510;0;852;0;0;0;0;353;9;0;167;0;0;232;527;0;2071;2;1
7;2019-01-01;00:40:00;2617;0;8.3;78.0;0.0;9;0;0;0;464;0;536;0;852;0;0;0;0;347;9;0;169;0;0;231;554;0;2063;2;1
8;2019-01-01;00:45:00;2249;0;8.1;78.0;0.0;9;0;0;0;465;0;170;0;848;0;0;0;0;349;9;0;169;0;0;230;188;0;2061;2;1
9;2019-01-01;00:50:00;2253;0;8.1;79.0;0.0;6;0;0;0;467;0;170;0;850;0;0;0;0;345;7;0;171;0;0;237;183;0;2070;2;1
10;2019-01-01;00:55:00;2961;0;8.2;79.0;0.0;6;0;0;0;467;0;886;0;840;0;0;0;0;351;8;0;169;0;0;234;900;0;2061;2;1
11;2019-01-01;01:00:00;2251;0;8.2;78.0;0.0;8;0;0;0;465;0;170;0;855;0;0;0;0;343;9;0;168;0;0;233;187;0;2064;2;1
12;2019-01-01;01:05:00;2258;0;8.2;78.0;0.0;9;0;0;0;462;0;170;0;852;0;0;0;0;355;8;0;170;0;0;232;187;0;2071;2;1
13;2019-01-01;01:10:00;2893;0;8.1;78.0;0.0;7;0;0;0;462;0;817;0;852;0;0;0;0;345;8;0;168;0;0;234;832;0;2061;2;1
14;2019-01-01;01:15:00;2250;0;7.9;78.0;0.0;9;0;0;0;466;0;172;0;842;0;0;0;0;353;8;0;167;0;0;233;189;0;2061;2;1
15;2019-01-01;01:20:00;2229;0;7.8;78.0;0.0;5;0;0;0;463;0;170;0;838;0;0;0;0;344;10;0;168;0;0;231;185;0;2044;2;1
16;2019-01-01;01:25:00;2960;0;7.8;79.0;0.0;6;0;0;0;466;0;886;0;837;0;0;0;0;352;10;0;170;0;0;233;902;0;2058;2;1
17;2019-01-01;01:30:00;2315;0;7.6;79.0;0.0;7;0;0;0;549;0;171;0;836;0;0;0;0;344;8;0;169;0;0;231;186;0;2129;2;1
18;2019-01-01;01:35:00;2252;0;7.6;80.0;0.0;6;0;0;0;467;0;171;0;846;0;0;0;0;352;10;0;168;0;0;232;187;0;2065;2;1
19;2019-01-01;01:40:00;2244;0;7.6;80.0;0.0;9;0;0;0;464;0;170;0;845;0;0;0;0;346;9;0;169;0;0;232;188;0;2056;2;1
20;2019-01-01;01:45:00;2942;0;7.4;80.0;0.0;7;0;0;0;467;0;868;0;838;0;0;0;0;351;8;0;169;0;0;234;883;0;2059;2;1
21;2019-01-01;01:50:00;2245;0;7.4;81.0;0.0;8;0;0;0;467;0;170;0;842;0;0;0;0;344;10;0;171;0;0;233;188;0;2057;2;1
22;2019-01-01;01:55:00;2246;0;7.5;81.0;0.0;8;0;0;0;463;0;170;0;838;0;0;0;0;355;11;0;169;0;0;232;189;0;2057;2;1
23;2019-01-01;02:00:00;2945;0;7.4;81.0;0.0;8;0;0;0;464;0;865;0;846;0;0;0;0;345;9;0;172;0;0;236;882;0;2063;2;1
24;2019-01-01;02:05:00;2243;0;7.4;81.0;0.0;7;0;0;0;465;0;172;0;835;0;0;0;0;353;9;0;171;0;0;231;188;0;2055;2;1
25;2019-01-01;02:10:00;2236;0;7.5;81.0;0.0;8;0;0;0;463;0;170;0;838;0;0;0;0;345;9;0;171;0;0;232;187;0;2049;2;1
26;2019-01-01;02:15:00;2445;0;7.4;81.0;0.0;8;0;0;0;467;0;374;0;834;0;0;0;0;352;8;0;169;0;0;233;390;0;2055;2;1
27;2019-01-01;02:20:00;2668;0;7.3;81.0;0.0;7;0;0;0;468;0;604;0;835;0;0;0;0;344;8;0;170;0;0;232;619;0;2049;2;1
28;2019-01-01;02:25:00;2243;0;7.1;81.0;0.0;7;0;0;0;466;0;170;0;836;0;0;0;0;353;9;0;169;0;0;233;186;0;2057;2;1
29;2019-01-01;02:30:00;2237;0;6.9;82.0;0.0;7;0;0;0;462;0;170;0;840;0;0;0;0;345;10;0;170;0;0;233;187;0;2050;2;1
30;2019-01-01;02:35:00;2955;0;6.9;82.0;0.0;8;0;0;0;463;0;872;0;849;0;0;0;0;352;8;0;169;0;0;234;888;0;2067;2;1
31;2019-01-01;02:40:00;2250;0;6.8;82.0;0.0;8;0;0;0;468;0;170;0;850;0;0;0;0;346;8;0;169;0;0;231;186;0;2064;2;1
32;2019-01-01;02:45:00;2251;0;6.8;82.0;0.0;9;0;0;0;469;0;170;0;843;0;0;0;0;351;10;0;169;0;0;230;189;0;2062;2;1
33;2019-01-01;02:50:00;2932;0;6.7;82.0;0.0;8;0;0;0;466;0;861;0;840;0;0;0;0;345;8;0;170;0;0;234;877;0;2055;2;1
34;2019-01-01;02:55:00;2303;0;6.7;83.0;0.0;7;0;0;0;469;0;230;0;833;0;0;0;0;354;8;0;170;0;0;232;245;0;2058;2;1
35;2019-01-01;03:00:00;2237;0;6.7;83.0;0.0;5;0;0;0;468;0;170;0;839;0;0;0;0;345;10;0;170;0;0;230;185;0;2052;2;1
36;2019-01-01;03:05:00;2472;0;6.8;82.0;0.0;8;0;213;0;465;0;170;0;855;0;0;0;0;353;8;0;170;0;0;230;399;0;2073;2;1
37;2019-01-01;03:10:00;2898;0;6.7;82.0;0.0;7;0;0;0;469;0;814;0;851;0;0;0;0;345;10;0;169;0;0;233;831;0;2067;2;1
38;2019-01-01;03:15:00;2259;0;6.7;82.0;0.0;6;0;0;0;469;0;170;0;850;0;0;0;0;352;9;0;169;0;0;234;185;0;2074;2;1
39;2019-01-01;03:20:00;2267;0;6.6;82.0;0.0;7;0;0;0;465;0;179;0;854;0;0;0;0;346;9;0;172;0;0;235;195;0;2072;2;1
40;2019-01-01;03:25:00;2419;0;6.8;82.0;0.0;8;0;0;0;466;0;324;0;851;0;0;0;0;352;10;0;172;0;0;236;342;0;2077;2;1
41;2019-01-01;03:30:00;2864;0;6.8;82.0;0.0;8;0;0;0;468;0;780;0;849;0;0;0;0;346;10;0;169;0;0;234;798;0;2066;2;1
42;2019-01-01;03:35:00;2273;0;6.8;81.0;0.0;7;0;0;0;466;0;177;0;854;0;0;0;0;355;10;0;172;0;0;232;194;0;2079;2;1
43;2019-01-01;03:40:00;2250;0;6.8;81.0;0.0;8;0;0;0;469;0;174;0;843;0;0;0;0;345;8;0;171;0;0;232;190;0;2060;2;1
44;2019-01-01;03:45:00;2967;0;6.7;81.0;0.0;7;0;0;0;466;0;874;0;851;0;0;0;0;355;9;0;172;0;0;233;890;0;2077;2;1
45;2019-01-01;03:50:00;2263;0;6.7;81.0;0.0;7;0;0;0;465;0;178;0;856;0;0;0;0;345;10;0;169;0;0;233;195;0;2068;2;1
46;2019-01-01;03:55:00;2251;0;6.6;81.0;0.0;9;0;0;0;465;0;179;0;835;0;0;0;0;352;10;0;169;0;0;232;198;0;2053;2;1
47;2019-01-01;04:00:00;2319;0;6.6;81.0;0.0;8;0;0;0;465;0;249;0;842;0;0;0;0;344;10;0;169;0;0;232;267;0;2052;2;1
48;2019-01-01;04:05:00;2893;0;6.5;81.0;0.0;7;0;0;0;466;0;807;0;850;0;0;0;0;352;10;0;170;0;0;231;824;0;2069;2;1
49;2019-01-01;04:10:00;2269;0;6.5;82.0;0.0;8;0;0;0;466;0;179;0;857;0;0;0;0;347;11;0;169;0;0;232;198;0;2071;2;1
50;2019-01-01;04:15:00;2270;0;6.5;82.0;0.0;9;0;0;0;466;0;178;0;854;0;0;0;0;353;10;0;169;0;0;231;197;0;2073;2;1
51;2019-01-01;04:20:00;3015;0;6.4;82.0;0.0;7;0;0;0;467;0;937;0;846;0;0;0;0;344;11;0;171;0;0;232;955;0;2060;2;1
52;2019-01-01;04:25:00;2256;0;6.3;82.0;0.0;9;0;0;0;462;0;180;0;843;0;0;0;0;353;10;0;169;0;0;230;199;0;2057;2;1
53;2019-01-01;04:30:00;2248;0;6.3;82.0;0.0;6;0;0;0;464;0;179;0;845;0;0;0;0;343;11;0;168;0;0;232;196;0;2052;2;1
54;2019-01-01;04:35:00;2267;0;6.3;82.0;0.0;9;0;0;0;461;0;179;0;854;0;0;0;0;351;10;0;170;0;0;233;198;0;2069;2;1
55;2019-01-01;04:40:00;2958;0;6.2;82.0;0.0;9;0;0;0;472;0;865;0;855;0;0;0;0;344;9;0;170;0;0;234;883;0;2075;2;1
56;2019-01-01;04:45:00;2256;0;6.2;82.0;0.0;9;0;0;0;463;0;179;0;844;0;0;0;0;350;10;0;169;0;0;232;198;0;2058;2;1
57;2019-01-01;04:50:00;2249;0;6.3;82.0;0.0;9;0;0;0;465;0;176;0;836;0;0;0;0;347;11;0;172;0;0;233;196;0;2053;2;1
58;2019-01-01;04:55:00;2724;0;6.3;82.0;0.0;8;0;0;0;465;0;643;0;839;0;0;0;0;352;10;0;172;0;0;235;661;0;2063;2;1
59;2019-01-01;05:00:00;2487;0;6.3;82.0;0.0;6;0;0;0;464;0;421;0;843;0;0;0;0;343;10;0;168;0;0;232;437;0;2050;2;1
60;2019-01-01;05:05:00;2257;0;6.3;82.0;0.0;6;0;0;0;471;0;178;0;838;0;0;0;0;353;9;0;170;0;0;232;193;0;2064;2;1
61;2019-01-01;05:10:00;2240;0;6.2;82.0;0.0;6;0;0;0;463;0;179;0;835;0;0;0;0;345;8;0;172;0;0;232;193;0;2047;2;1
62;2019-01-01;05:15:00;2974;0;6.1;82.0;0.0;8;0;0;0;466;0;893;0;841;0;0;0;0;354;10;0;167;0;0;235;911;0;2063;2;1
63;2019-01-01;05:20:00;2247;0;6.1;82.0;0.0;6;0;0;0;465;0;178;0;837;0;0;0;0;350;9;0;169;0;0;233;193;0;2054;2;1
64;2019-01-01;05:25:00;2248;0;6.0;82.0;0.0;9;0;0;0;461;0;178;0;834;0;0;0;0;351;10;0;168;0;0;237;197;0;2051;2;1
65;2019-01-01;05:30:00;2249;0;6.0;82.0;0.0;8;0;0;0;467;0;180;0;838;0;0;0;0;345;10;0;168;0;0;233;198;0;2051;2;1
66;2019-01-01;05:35:00;3018;0;5.9;82.0;0.0;7;0;0;0;465;0;935;0;845;0;0;0;0;352;9;0;170;0;0;235;951;0;2067;2;1
67;2019-01-01;05:40:00;2247;0;5.9;83.0;0.0;8;0;0;0;463;0;178;0;840;0;0;0;0;346;9;0;171;0;0;232;195;0;2052;2;1
68;2019-01-01;05:45:00;2254;0;5.8;83.0;0.0;8;0;0;0;464;0;178;0;842;0;0;0;0;351;11;0;168;0;0;232;197;0;2057;2;1
69;2019-01-01;05:50:00;2634;0;5.8;83.0;0.0;8;0;0;0;469;0;562;0;835;0;0;0;0;345;7;0;173;0;0;235;577;0;2057;2;1
70;2019-01-01;05:55:00;2523;0;5.8;83.0;0.0;7;0;0;0;487;0;414;0;848;0;0;0;0;354;10;0;169;0;0;234;431;0;2092;2;1
71;2019-01-01;06:00:00;2263;0;5.8;83.0;0.0;9;0;0;0;482;0;175;0;843;0;0;0;0;344;8;0;170;0;0;232;192;0;2071;2;2
72;2019-01-01;06:05:00;2264;0;5.8;83.0;0.0;8;0;0;0;487;0;170;0;837;0;0;0;0;352;8;0;169;0;0;233;186;0;2078;2;2
73;2019-01-01;06:10:00;2761;0;5.7;83.0;0.0;9;0;0;0;484;0;677;0;834;0;0;0;0;343;10;0;170;0;0;234;696;0;2065;2;2
74;2019-01-01;06:15:00;2379;0;5.7;83.0;0.0;8;0;0;0;478;0;300;0;831;0;0;0;0;352;9;0;170;0;0;231;317;0;2062;2;2
75;2019-01-01;06:20:00;2239;0;5.6;83.0;0.0;7;0;0;0;464;0;179;0;833;0;0;0;0;345;8;0;172;0;0;231;194;0;2045;2;2
76;2019-01-01;06:25:00;2247;0;5.6;83.0;0.0;9;0;0;0;467;0;178;0;833;0;0;0;0;351;10;0;167;0;0;232;197;0;2050;2;2
77;2019-01-01;06:30:00;2922;0;5.5;84.0;0.0;8;0;0;0;463;0;859;0;835;0;0;0;0;343;11;0;170;0;0;233;878;0;2044;2;2
78;2019-01-01;06:35:00;2253;0;5.4;84.0;0.0;8;0;0;0;466;0;179;0;837;0;0;0;0;351;9;0;171;0;0;232;196;0;2057;2;2
79;2019-01-01;06:40:00;2241;0;5.4;84.0;0.0;7;0;0;0;462;0;177;0;834;0;0;0;0;349;9;0;171;0;0;232;193;0;2048;2;2
80;2019-01-01;06:45:00;2263;0;5.4;84.0;0.0;8;0;0;0;467;0;178;0;844;0;0;0;0;353;10;0;169;0;0;234;196;0;2067;2;2
81;2019-01-01;06:50:00;2927;0;5.4;84.0;0.0;8;0;0;0;463;0;862;0;837;0;0;0;0;344;9;0;169;0;0;235;879;0;2048;2;2
82;2019-01-01;06:55:00;2243;0;5.4;84.0;0.0;8;0;0;0;462;0;179;0;830;0;0;0;0;352;9;0;169;0;0;234;196;0;2047;2;2
83;2019-01-01;07:00:00;2253;0;5.6;84.0;0.0;10;0;0;0;469;0;178;0;839;0;0;0;0;344;11;0;170;0;0;232;199;0;2054;2;2
84;2019-01-01;07:05:00;2263;0;5.6;84.0;0.0;9;0;0;0;465;0;174;0;838;0;0;0;0;354;9;0;171;0;0;243;192;0;2071;2;2
85;2019-01-01;07:10:00;2867;0;5.5;83.0;0.0;5;0;0;0;466;1;800;0;831;0;0;0;0;347;8;0;169;0;0;240;814;0;2053;2;2
86;2019-01-01;07:15:00;2255;0;5.4;84.0;0.0;7;0;0;0;471;0;179;0;831;0;0;0;0;352;11;0;169;0;0;235;197;0;2058;2;2
87;2019-01-01;07:20:00;2241;0;5.4;84.0;0.0;7;0;0;0;463;0;178;0;834;0;0;0;0;345;10;0;170;0;0;234;195;0;2046;2;2
88;2019-01-01;07:25:00;2247;0;5.3;84.0;0.0;10;0;0;0;464;0;174;0;835;0;0;0;0;353;8;0;169;0;0;234;192;0;2055;2;2
89;2019-01-01;07:30:00;2920;0;5.3;84.0;0.0;10;0;0;0;467;0;851;0;834;0;0;0;0;346;8;0;169;0;0;235;869;0;2051;2;2
90;2019-01-01;07:35:00;2236;0;5.3;84.0;0.0;8;0;0;0;467;0;170;0;831;0;0;0;0;352;7;0;168;0;0;233;185;0;2051;2;2
91;2019-01-01;07:40:00;2228;0;5.3;84.0;0.0;9;0;0;0;466;0;170;0;833;0;0;0;0;345;7;0;167;0;0;231;186;0;2042;2;2
92;2019-01-01;07:45:00;2243;0;5.2;84.0;0.0;6;0;0;0;464;0;172;0;838;0;0;0;0;351;10;0;169;0;0;233;188;0;2055;2;2
93;2019-01-01;07:50:00;2931;0;5.2;84.0;0.0;8;0;0;0;469;0;858;0;839;0;0;0;0;346;8;0;168;0;0;235;874;0;2057;2;2
94;2019-01-01;07:55:00;2255;0;5.2;85.0;0.0;8;0;0;0;477;0;171;0;835;0;0;0;0;353;8;0;171;0;0;232;187;0;2068;2;2
95;2019-01-01;08:00:00;2226;0;5.2;85.0;1.0;5;0;0;0;464;0;170;0;836;0;0;0;0;344;10;0;168;-2;0;231;183;0;2043;2;2
96;2019-01-01;08:05:00;2267;0;5.2;85.0;6.0;9;0;0;0;467;0;170;0;861;0;0;0;0;352;8;0;169;0;0;231;187;0;2080;2;2
97;2019-01-01;08:10:00;2905;0;5.2;84.0;8.0;8;0;0;0;466;0;821;0;856;0;0;0;0;345;7;0;170;0;0;232;836;0;2069;2;2
98;2019-01-01;08:15:00;2241;0;5.2;85.0;11.0;6;0;0;0;465;0;170;0;841;0;0;0;0;351;7;0;169;0;0;232;183;0;2058;2;2
99;2019-01-01;08:20:00;2236;0;5.2;85.0;13.0;9;0;0;0;465;0;170;0;836;0;0;0;0;345;9;0;171;0;0;231;188;0;2048;2;2
100;2019-01-01;08:25:00;2236;0;5.3;85.0;16.0;8;0;0;0;462;0;170;0;831;0;0;0;0;354;9;0;169;0;0;233;187;0;2049;2;2
